Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1532,Passo Largo,Suspiros de Elizabeth - Instrumental,6JtrWVOGjC7c9aChVOVEk2,0,2012,afrobeat,0.337,0.784,7,-5.019,1,0.0786,1.8e-05,0.818,0.0979,0.652,160.123,251373,4
1548,Passo Largo,Sinta a Liga - Instrumental,07bAp2o2kmPTGX7f70Zpca,0,2012,afrobeat,0.508,0.915,7,-4.724,1,0.071,0.0057,0.000426,0.298,0.703,110.231,192333,4
1636,Passo Largo,Shokabillis - Instrumental,6xxGKQOsE0chcXUSaoRFwB,0,2012,afrobeat,0.455,0.896,7,-5.16,0,0.05,0.00494,0.571,0.147,0.809,150.139,245080,4
1651,Passo Largo,Vermelho Conversível - Instrumental,7w3svohh0AivKj5UqwvN7N,0,2012,afrobeat,0.493,0.921,9,-4.849,1,0.0611,0.077,0.393,0.0945,0.964,159.816,155093,4
1677,Passo Largo,Acabou-se Tudo - Instrumental,6OSQyDioFyiSnLXeGR4XRj,0,2012,afrobeat,0.536,0.823,1,-5.72,0,0.0424,0.000576,0.726,0.109,0.765,145.17,275813,3
1678,Passo Largo,Sujeiras de Angélica - Instrumental,1tRqTcwwaaxaQpmVyRNqB9,0,2012,afrobeat,0.436,0.917,11,-4.87,0,0.0495,0.00478,0.138,0.218,0.936,94.506,189813,4
1709,Passo Largo,Inominável - Instrumental,0Lt0OqnbEDR3UEzg9BGfjf,0,2012,afrobeat,0.464,0.848,7,-5.871,1,0.0373,0.000166,0.537,0.202,0.596,139.906,205667,3
1717,Passo Largo,Bebe-le Rios - Instrumental,78x5DJNqMlONJu0yJ4HT1n,0,2012,afrobeat,0.24,0.662,7,-5.396,0,0.0438,0.000464,0.000453,0.313,0.22,71.452,222187,4
1719,Passo Largo,Passo Largo - Instrumental,2kYAtuN97YzvIae23Swt7H,0,2012,afrobeat,0.585,0.781,0,-6.793,0,0.0387,0.000427,0.818,0.106,0.736,102.413,193533,4
1782,My Darkest Days,Casual Sex,442YgzY4YBcE3UXFRrczJb,58,2012,alt-rock,0.671,0.922,11,-4.175,0,0.0463,0.00912,0.0,0.662,0.858,116.04,193573,4
