id,name,artist,playlist_id,danceability,energy,valence,tempo
0DwClY2t9YAWHBROMIgrXb,Ho Hey,The Lumineers,3Pi10mDjLzhvpM4XZCz26v,,,,
6mFkJmJqdDVQ1REhVfGgd1,Wish You Were Here,Pink Floyd,3Pi10mDjLzhvpM4XZCz26v,,,,
5ihS6UUlyQAfmp48eSkxuQ,Landslide,Fleetwood Mac,3Pi10mDjLzhvpM4XZCz26v,,,,
6ORqU0bHbVCRjXm9AjyHyZ,Good Riddance (Time of Your Life),Green Day,3Pi10mDjLzhvpM4XZCz26v,,,,
2dk1fsLg7YEsKJdVm4P5cu,Saturday Mornings (feat. Lil Wayne),Cordae,3Pi10mDjLzhvpM4XZCz26v,,,,
18GiV1BaXzPVYpp9rmOg0E,Blowin' in the Wind,Bob Dylan,3Pi10mDjLzhvpM4XZCz26v,,,,
3E7dfMvvCLUddWissuqMwr,Party In The U.S.A.,Miley Cyrus,6sLKqrUF3TEfcMkcS6P3gu,,,,
5PsMbxhgWpJMsouEfDTX6r,Locked out of Heaven,Bruno Mars,6sLKqrUF3TEfcMkcS6P3gu,,,,
65YsalQBmQCzIPaay72CzQ,Diamonds,Rihanna,6sLKqrUF3TEfcMkcS6P3gu,,,,
5BSndweF91KDqyxANsZcQH,Ho Hey,The Lumineers,6sLKqrUF3TEfcMkcS6P3gu,,,,
190jyVPHYjAqEaOGmMzdyk,Beauty And A Beat,Justin Bieber,6sLKqrUF3TEfcMkcS6P3gu,,,,
4P0osvTXoSYZZC2n8IFH3c,Payphone,Maroon 5,6sLKqrUF3TEfcMkcS6P3gu,,,,
6KOEK6SeCEZOQkLj5M1PxH,California Gurls,Katy Perry,6sLKqrUF3TEfcMkcS6P3gu,,,,
6Knv6wdA0luoMUuuoYi2i1,My House,Flo Rida,6sLKqrUF3TEfcMkcS6P3gu,,,,
0CAfXk7DXMnon4gLudAp7J,Low (feat. T-Pain),Flo Rida,6sLKqrUF3TEfcMkcS6P3gu,,,,
3wJIAMuPdEoBddWlovWXCX,One More Night,Maroon 5,6sLKqrUF3TEfcMkcS6P3gu,,,,
2H1047e0oMSj10dgp7p2VG,I Gotta Feeling,Black Eyed Peas,6sLKqrUF3TEfcMkcS6P3gu,,,,
1CmUZGtH29Kx36C1Hleqlz,Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,6sLKqrUF3TEfcMkcS6P3gu,,,,
054ue8u2erwwGNgSIZLEPq,Scream & Shout,will.i.am,6sLKqrUF3TEfcMkcS6P3gu,,,,
6qOEjO2IUD7PjtpsXawq0d,Girl On Fire,Alicia Keys,6sLKqrUF3TEfcMkcS6P3gu,,,,
1oF75Qbv8UvOBm1imUAE51,Don't You Worry Child (Radio Edit) [feat. John Martin],Swedish House Mafia,6sLKqrUF3TEfcMkcS6P3gu,,,,
0uZ0orE84drZZzPKxCWSmR,Little Talks,Of Monsters and Men,6sLKqrUF3TEfcMkcS6P3gu,,,,
3kyxRga5wDGbKdmxXssbps,I Will Wait,Mumford & Sons,6sLKqrUF3TEfcMkcS6P3gu,,,,
6VvLaPlFhhSNHKk4exLUx8,Radioactive,Imagine Dragons,6sLKqrUF3TEfcMkcS6P3gu,,,,
7gpy7sfWPNuOKmUNs3XQYE,Carry On,fun.,6sLKqrUF3TEfcMkcS6P3gu,,,,
6TwfdLbaxTKzQi3AgsZNzx,Daylight,Maroon 5,6sLKqrUF3TEfcMkcS6P3gu,,,,
25n4NECujqOxQHdXVIVc9I,Heart Attack,Demi Lovato,6sLKqrUF3TEfcMkcS6P3gu,,,,
1qHaLcG3LOeh6ZB8vii5ZZ,Just Give Me a Reason,P!nk,6sLKqrUF3TEfcMkcS6P3gu,,,,
6MiqdbagcOqDMxhovDOIpF,Troublemaker (feat. Flo Rida),Olly Murs,6sLKqrUF3TEfcMkcS6P3gu,,,,
0nJW01T7XtvILxQgC5J7Wh,When I Was Your Man,Bruno Mars,6sLKqrUF3TEfcMkcS6P3gu,,,,
3bidbhpOYeV4knp8AIu8Xn,Can't Hold Us (feat. Ray Dalton),Macklemore,6sLKqrUF3TEfcMkcS6P3gu,,,,
1lb0sQGUjzJhkNNU6srjeZ,Feel This Moment (feat. Christina Aguilera),Pitbull,6sLKqrUF3TEfcMkcS6P3gu,,,,
6csiA8EczbxAHDewDL7QQl,The Way,Ariana Grande,6sLKqrUF3TEfcMkcS6P3gu,,,,
0fuP0ykgrDSxk5odNU7Gy2,22,Taylor Swift,6sLKqrUF3TEfcMkcS6P3gu,,,,
7Gkphzdh5ouurEt7JT49Yu,Come & Get It,Selena Gomez,6sLKqrUF3TEfcMkcS6P3gu,,,,
2Foc5Q5nqNiosCNqttzHof,Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],Pharrell Williams,6sLKqrUF3TEfcMkcS6P3gu,,,,
4CLZ3D2RCI5ZCfB51D6NwB,The Other Side,Jason Derulo,6sLKqrUF3TEfcMkcS6P3gu,,,,
0HnaqUxvHP5LaWdmWwJpiS,Love Somebody,Maroon 5,6sLKqrUF3TEfcMkcS6P3gu,,,,
1fzJyTCKeZuTSLByCsLRHl,Safe And Sound,Capital Cities,6sLKqrUF3TEfcMkcS6P3gu,,,,
4QRZirU4s1f30iDHzuKncj,Wake Me Up,Avicii,6sLKqrUF3TEfcMkcS6P3gu,,,,
