Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
849,Colorfactory,Street in ime,5bRX3Tp4ixOW4RzjRZx5vD,10,2012,acoustic,0.521,0.262,2,-18.71,1,0.0309,0.22,0.363,0.122,0.169,90.79,216293,4
857,Colorfactory,Que Pasa,4sAYZ3qp1htGqkBXXPTivR,10,2012,acoustic,0.606,0.572,1,-11.658,0,0.028,0.671,0.573,0.12,0.881,127.381,305800,4
858,Colorfactory,Paris,0z97NCYfLCDHKs0A83TBvN,11,2012,acoustic,0.577,0.543,7,-13.291,1,0.0278,0.0279,0.0305,0.102,0.529,114.699,180133,4
7394,Lidell Townsell,Nu Nu - Ospina & Oscar P Vocal Mix,4iYRyBFzzBiL44e8if3HE2,0,2012,chicago-house,0.805,0.649,6,-8.487,0,0.14,0.0032,0.649,0.0561,0.922,122.014,371853,4
8566,Germaine Tailleferre,String Quartet: I. Modere,2Cc5z5swQrDqZiyCkZ0TnF,39,2012,classical,0.262,0.107,4,-17.973,1,0.0448,0.959,0.463,0.195,0.136,76.65,147040,4
14787,Joy Orbison,Ellipsis,58eWUMFPVu4aCl1sEoNa8a,24,2012,deep-house,0.855,0.781,11,-8.014,0,0.138,0.00747,0.104,0.248,0.161,127.992,307500,4
14796,Joey Negro,In The Thick of It - Album Mix,0B5LWkwpGNbaKRyiNcjfsM,27,2012,deep-house,0.619,0.837,8,-7.365,1,0.0341,0.0041,0.0496,0.34,0.775,122.987,337120,4
14881,Joey Negro,The Secret Life of Us,5DwGh6bxFAGsK5Ss20P15d,23,2012,deep-house,0.752,0.868,8,-7.494,0,0.0372,0.074,0.48,0.282,0.793,117.001,344615,4
15143,Joey Negro,Where The Lights Meet The Music,6CUtV3QlpeWhuIvQ2VYG29,20,2012,deep-house,0.775,0.738,6,-7.865,0,0.0761,0.0785,0.000464,0.0741,0.763,115.992,334390,4
15494,Joey Negro,Taste The Groove,7u7HE00RQlmJRdYIOYCHmF,8,2012,deep-house,0.828,0.903,2,-8.043,1,0.0523,0.0215,0.607,0.0946,0.748,113.993,323482,4
15496,Joey Negro,Caught In The Moment,665e1O7SXyxyrSAfWPWLEp,12,2012,deep-house,0.777,0.76,0,-7.954,0,0.0329,0.0323,0.00273,0.233,0.862,123.99,294297,4
15498,Joey Negro,Why Wait For Tomorrow,1bXDiQWuNOkm6t66s0TyHE,14,2012,deep-house,0.64,0.798,6,-7.692,0,0.0361,0.149,0.00727,0.0968,0.887,119.997,429036,4
19077,Big Bad Voodoo Daddy,Why Me?,0Vt4rMn8Rc9fNjIRzw64rr,39,2012,electro,0.861,0.642,3,-6.452,0,0.0318,0.386,0.00474,0.0711,0.966,110.957,214280,4
19110,Big Bad Voodoo Daddy,Diga Diga Doo,6VLxbR9RT9KFOAEgwqvoii,34,2012,electro,0.75,0.663,2,-6.866,1,0.213,0.284,0.00337,0.0952,0.487,118.908,255680,4
20941,Josephine Foster,Child of God,1Pcw7InXymhyDG6vtL1iZE,34,2012,folk,0.649,0.471,0,-8.801,1,0.0244,0.201,0.0,0.11,0.674,97.022,221983,4
21252,Josephine Foster,Puerto de Santa Maria,2bzwB8zPZqt4R4vKbD7BCu,29,2012,folk,0.445,0.279,7,-15.621,1,0.0444,0.979,0.479,0.121,0.249,119.56,394960,3
23518,Cocofunka,Pa Romper la Rutina,5wV0djVlMGBH3gpW7Iap1K,34,2012,funk,0.688,0.772,2,-7.579,0,0.179,0.327,1.33e-06,0.0669,0.769,96.051,235147,4
23525,Cocofunka,Mejor Será,2hjOUD64eyBqEUXYGO3yGx,33,2012,funk,0.924,0.464,5,-8.657,1,0.173,0.457,0.0,0.0811,0.946,105.987,206933,4
23606,Cocofunka,Suele Suceder,3vN2CpbZhorsOB6x4cEMCp,33,2012,funk,0.764,0.66,9,-6.474,0,0.039,0.326,3.87e-06,0.0789,0.795,110.052,241107,4
34969,Big Bad Voodoo Daddy,It Only Took A Kiss,2AvvsmGQiPlAxsZNv7vlJA,29,2012,jazz,0.909,0.216,2,-13.885,1,0.0553,0.657,0.0,0.0839,0.196,116.971,248640,4
35088,Big Bad Voodoo Daddy,Let It Roll Again,7pB7fE4fdmaYK3RP0GWO9x,24,2012,jazz,0.623,0.483,5,-5.359,0,0.0331,0.338,3.98e-06,0.208,0.617,131.173,200400,4
35107,Big Bad Voodoo Daddy,The Jitters,04PNnVJv0GohptUThPfAjf,22,2012,jazz,0.512,0.793,5,-5.85,0,0.129,0.0256,0.525,0.176,0.458,140.696,194587,4
35173,Big Bad Voodoo Daddy,Gimme That Wine,0wAGZLtgQSisSl8WUvCATI,21,2012,jazz,0.765,0.557,7,-6.899,1,0.161,0.51,0.0,0.072,0.62,107.156,175307,4
35331,Big Bad Voodoo Daddy,Devil's Dance,1RUDl0EyCHumILKTLOVWBD,18,2012,jazz,0.518,0.697,5,-6.188,1,0.137,0.624,8.22e-05,0.056,0.87,180.546,273280,4
35343,Big Bad Voodoo Daddy,She's Always Right (I'm Never Wrong),37dhi8MFzXZiGranTdhdSA,18,2012,jazz,0.623,0.573,9,-5.437,1,0.0523,0.28,5.67e-05,0.19,0.762,99.011,206867,4
35409,Big Bad Voodoo Daddy,It's Lonely At The Top,77JjsdK31mbjhqhPIZSyKC,17,2012,jazz,0.759,0.43,0,-8.146,1,0.0344,0.689,0.000229,0.101,0.412,104.953,202733,4
40223,Rick Gallagher,In Christ Alone,7sFf1Rq4b85R8o7Bjh3cw3,5,2012,piano,0.281,0.273,7,-15.191,1,0.0431,0.991,0.939,0.276,0.141,175.131,344080,3
40224,Rick Gallagher,Great Is Thy Faithfulness,2RAVZxSPUHD4qvSZjpooTX,5,2012,piano,0.483,0.138,0,-16.266,1,0.0575,0.989,0.932,0.106,0.149,77.969,351053,4
40227,Rick Gallagher,How Great Thou Art,69GSDbmc70HvZlrT3K9cJz,5,2012,piano,0.384,0.184,0,-17.428,0,0.041,0.99,0.945,0.0887,0.215,99.04,236480,4
40228,Rick Gallagher,Fairest Lord Jesus,5jA7oI4DOhZfNeSGf7FWVp,5,2012,piano,0.293,0.236,3,-16.762,1,0.0462,0.988,0.912,0.1,0.12,82.798,283013,4
40229,Rick Gallagher,"Holy, Holy, Holy",76qzTJSRogVmBcPDUIeNhC,6,2012,piano,0.312,0.199,7,-16.168,1,0.0421,0.992,0.902,0.0848,0.153,74.813,353933,4
40231,Rick Gallagher,Come Thou Fount of Every Blessing,4xoiCFZXcnIQleGC2J9YYd,5,2012,piano,0.412,0.222,7,-14.215,1,0.041,0.988,0.866,0.0947,0.283,86.69,267973,3
40232,Rick Gallagher,Blessed Assurance,724MRTC0ZGUNI4oGSx48uO,5,2012,piano,0.418,0.191,3,-15.858,1,0.0444,0.985,0.917,0.101,0.295,83.262,352027,1
40235,Rick Gallagher,Nothing But the Blood,7o5lzu8XFMnIYSwvFtiTOd,5,2012,piano,0.469,0.285,7,-14.767,1,0.0398,0.991,0.92,0.0978,0.322,108.153,261787,4
40236,Rick Gallagher,Jesus Paid It All,0H04uCUiajbMwwnLLx6Wnh,5,2012,piano,0.3,0.267,1,-13.44,1,0.0538,0.979,0.914,0.104,0.177,58.493,262160,3
40237,Rick Gallagher,Old Rugged Cross,5eALmDJcjjZ0604hAP2uCd,5,2012,piano,0.51,0.172,10,-16.951,1,0.0624,0.986,0.913,0.0864,0.208,135.276,291747,3
40238,Rick Gallagher,Doxology,6peIp2ny24ACfN0V5dnBDx,5,2012,piano,0.415,0.238,9,-15.154,0,0.0411,0.99,0.91,0.105,0.354,121.247,262627,4
41119,Falguni Pathak,Rut Ne Jo Bansi Bajayi,61sKjzG8JJEgi7fKI1pGoB,3,2012,pop-film,0.72,0.414,0,-8.974,0,0.0351,0.68,1.78e-05,0.122,0.47,103.999,275173,4
45082,Guaco,Vivo,537KE6mr2r62jIp1036Stq,45,2012,salsa,0.765,0.842,9,-5.305,1,0.0535,0.288,0.0,0.0769,0.896,109.963,207693,4
45109,Guaco,A Plena Vista,5iYjiYfAKTsymuIRvKo1bv,28,2012,salsa,0.78,0.856,2,-6.371,1,0.0966,0.306,0.0,0.34,0.888,120.108,266907,4
45123,Guaco,Por Esa Forma (feat. Rubén Blades),1idNWnqBYUL70UzjEK4tIs,27,2012,salsa,0.814,0.769,9,-4.86,1,0.0511,0.545,0.0,0.189,0.928,145.126,267987,4
45127,Guaco,Déjate Llevar (feat. Chino y Nacho),194DbwqMl7CFJwqLhoEsMI,26,2012,salsa,0.821,0.859,7,-5.345,0,0.103,0.343,0.0,0.253,0.89,107.992,269413,4
45129,Guaco,Dámelo Todo (feat. Claudia Santos),64Od5dRN2BBLmAeYkj51DT,26,2012,salsa,0.705,0.741,2,-7.542,1,0.0433,0.351,0.0,0.0865,0.961,159.977,252387,4
45197,Guaco,La Cremita (feat. Gilberto Santa Rosa),5Xa5ViuiTQS082ll87JDpg,19,2012,salsa,0.752,0.886,7,-6.393,0,0.119,0.336,0.0,0.137,0.936,179.969,285373,4
45213,Guaco,Quiéreme Así,3skmIoyAG1gfwIzh0yVkIJ,18,2012,salsa,0.529,0.864,9,-6.401,1,0.11,0.144,0.0,0.17,0.961,164.676,280560,4
45215,Guaco,Con Sólo un Beso Tuyo (feat. Luis Enrique),1UqhrM4Wk1as3nDH38RIsq,18,2012,salsa,0.804,0.756,7,-7.302,1,0.137,0.305,0.0,0.114,0.678,92.506,237680,4
45236,Guaco,Quisiera Que Pudieras (feat. Andres Cepeda),27tes0B8qvNMEaAbIOrl4D,17,2012,salsa,0.72,0.593,10,-8.176,1,0.0407,0.717,0.0,0.113,0.654,150.002,235973,4
45282,Guaco,Tan Fácil (feat. Lena Burke),5lMSJKAqWHxPpUux4GXXTP,14,2012,salsa,0.788,0.781,5,-5.883,1,0.113,0.474,0.0,0.143,0.951,149.871,190600,4
45318,Guaco,Dame (feat. Jorge Luis Chacín),08CcgR8aVblTPOWBn3prZC,14,2012,salsa,0.712,0.782,10,-5.801,1,0.0751,0.638,0.0,0.104,0.885,160.019,247360,4
45319,Guaco,Cada Vez,2UHZvcoUKaevrhxN9GIe8d,13,2012,salsa,0.729,0.725,2,-6.689,1,0.0609,0.596,4.27e-05,0.31,0.765,95.005,210720,4
56962,Shawn McDonald,Gravity,5aCDTixrOi9FU9Wqc51eka,31,2013,alt-rock,0.732,0.546,0,-11.842,0,0.0385,0.303,0.0006,0.109,0.209,113.871,246215,4
